2026-03-30 21:48:48,936 - INFO - Loaded 4599 gGSP records from d:\Studia\Projekty\gsp-lab\results\plots\gGSP_5.0.csv
2026-03-30 21:48:49,202 - INFO - Loaded 4599 lDDT records from d:\Studia\Projekty\gsp-lab\results\lddt\finished\global_report.csv
2026-03-30 21:48:51,589 - INFO - Processing target: CR1107
2026-03-30 21:48:51,716 - INFO - 
--- Detailed data for target: CR1107 ---
2026-03-30 21:48:51,741 - INFO - 
   Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
     daslab_2 17.803 0.561  8.968  11.957    0.750   0.837   0.5000         0.728         9.49 1.760000e-13 18.80     0.226
     daslab_3 16.405 0.523 12.475  16.669    0.748   0.878   0.5770         0.698         5.49 5.070000e-08 19.64     0.242
     daslab_4 20.739 0.554 10.781  14.202    0.759   0.837   1.0000         0.715        12.98 1.860000e-10 21.50     0.302
     daslab_5 19.675 0.521 10.345  15.066    0.687   0.786   0.0000         0.645         8.99 3.820000e-11 18.25     0.256
2026-03-30 21:48:55,770 - INFO - Total models with gGSP: 59
2026-03-30 21:48:55,770 - INFO - Metric lDDT: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric RMSD: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric DI_all: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric INF_all: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric INF_wc: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric INF_nwc: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric INF_stacking: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric Clash_Score: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric P-value: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric mcq: available for 59/59 models
2026-03-30 21:48:55,770 - INFO - Metric TM-score: available for 59/59 models
2026-03-30 21:48:55,775 - INFO - Clash_Score: Pearson=-0.016, Spearman=-0.094, Kendall=-0.069 (n=59)
2026-03-30 21:48:55,777 - INFO - DI_all: Pearson=0.663, Spearman=0.680, Kendall=0.516 (n=59)
2026-03-30 21:48:55,778 - INFO - INF_all: Pearson=0.510, Spearman=0.486, Kendall=0.336 (n=59)
2026-03-30 21:48:55,781 - INFO - INF_nwc: Pearson=0.158, Spearman=0.196, Kendall=0.142 (n=59)
2026-03-30 21:48:55,783 - INFO - INF_stacking: Pearson=0.319, Spearman=0.332, Kendall=0.222 (n=59)
2026-03-30 21:48:55,785 - INFO - INF_wc: Pearson=0.536, Spearman=0.556, Kendall=0.395 (n=59)
2026-03-30 21:48:55,787 - INFO - mcq: Pearson=-0.199, Spearman=-0.360, Kendall=-0.248 (n=59)
2026-03-30 21:48:55,789 - INFO - P-value: Pearson=0.235, Spearman=0.624, Kendall=0.454 (n=59)
2026-03-30 21:48:55,792 - INFO - RMSD: Pearson=0.671, Spearman=0.624, Kendall=0.454 (n=59)
2026-03-30 21:48:55,793 - INFO - TM-score: Pearson=0.373, Spearman=0.158, Kendall=0.113 (n=59)
2026-03-30 21:48:55,796 - INFO - lDDT: Pearson=0.696, Spearman=0.726, Kendall=0.568 (n=59)
2026-03-30 21:48:55,797 - INFO - Saved correlation results to d:\Studia\Projekty\gsp-lab\results\correlations\PZ19_gGSP_correlations.csv
2026-03-30 21:48:55,797 - INFO - Processing target: PZ2
2026-03-30 21:48:55,869 - INFO - 
--- Detailed data for target: PZ2 ---
2026-03-30 21:48:55,872 - INFO - 
       Model    gGSP  lDDT  RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score  P-value   mcq  TM-score
  bujnicki_1  99.960 0.527 2.653   2.977    0.891   0.930     -1.0         0.873        10.41      0.0 19.34     0.182
  bujnicki_2  99.960 0.507 2.300   2.780    0.827   0.901      0.0         0.794        11.04      0.0 24.67     0.232
  bujnicki_3  99.981 0.503 2.329   2.858    0.815   0.886      0.0         0.783         0.32      0.0 24.57     0.231
      chen_1  99.974 0.477 2.830   3.709    0.763   0.899     -1.0         0.699        17.12      0.0 23.46     0.200
       das_1  99.868 0.559 2.496   2.789    0.895   0.960      0.0         0.863        14.20      0.0 14.75     0.204
       das_2  99.012 0.541 3.048   3.512    0.868   0.986      0.0         0.819        17.03      0.0 15.03     0.198
       das_3  99.493 0.527 3.034   3.538    0.857   0.973      0.0         0.803        16.40      0.0 12.61     0.204
       das_4  99.862 0.535 2.834   3.316    0.855   0.986      0.0         0.797        16.40      0.0 15.53     0.183
       das_5  98.300 0.533 3.464   4.022    0.861   0.973      0.0         0.813        17.98      0.0 14.49     0.199
 dokholyan_1 100.000 0.513 2.543   3.017    0.843   0.917      0.0         0.806        12.02      0.0 13.72     0.236
     major_1   4.712 0.078 2.980   3.787    0.787   0.930     -1.0         0.717       121.44      0.0 25.38     0.223
santalucia_1 100.000 0.471 3.650   4.454    0.820   0.935     -1.0         0.759        18.96      0.0 20.09     0.206
  wildauer_1  99.233 0.476 3.479   4.328    0.804   0.883      0.0         0.772       148.85      0.0 28.85     0.136
2026-03-30 21:48:55,873 - INFO - Total models with gGSP: 13
2026-03-30 21:48:55,873 - INFO - Metric lDDT: available for 13/13 models
2026-03-30 21:48:55,873 - INFO - Metric RMSD: available for 13/13 models
2026-03-30 21:48:55,873 - INFO - Metric DI_all: available for 13/13 models
2026-03-30 21:48:55,873 - INFO - Metric INF_all: available for 13/13 models
2026-03-30 21:48:55,873 - INFO - Metric INF_wc: available for 13/13 models
2026-03-30 21:48:55,873 - INFO - Metric INF_nwc: available for 13/13 models
2026-03-30 21:48:55,874 - INFO - Metric INF_stacking: available for 13/13 models
2026-03-30 21:48:55,874 - INFO - Metric Clash_Score: available for 13/13 models
2026-03-30 21:48:55,874 - INFO - Metric P-value: available for 13/13 models
2026-03-30 21:48:55,874 - INFO - Metric mcq: available for 13/13 models
2026-03-30 21:48:55,874 - INFO - Metric TM-score: available for 13/13 models
2026-03-30 21:48:55,878 - INFO - Clash_Score: Pearson=0.583, Spearman=0.505, Kendall=0.431 (n=13)
2026-03-30 21:48:55,879 - INFO - DI_all: Pearson=0.176, Spearman=0.306, Kendall=0.234 (n=13)
2026-03-30 21:48:55,882 - INFO - INF_all: Pearson=0.382, Spearman=-0.160, Kendall=-0.104 (n=13)
2026-03-30 21:48:55,884 - INFO - INF_nwc: Pearson=0.426, Spearman=-0.179, Kendall=-0.153 (n=13)
2026-03-30 21:48:55,887 - INFO - INF_stacking: Pearson=0.457, Spearman=-0.129, Kendall=-0.078 (n=13)
2026-03-30 21:48:55,889 - INFO - INF_wc: Pearson=0.034, Spearman=-0.408, Kendall=-0.305 (n=13)
2026-03-30 21:48:55,891 - INFO - mcq: Pearson=0.325, Spearman=0.028, Kendall=-0.026 (n=13)
2026-03-30 21:48:55,892 - INFO - P-value: Pearson=nan, Spearman=nan, Kendall=nan (n=13)
2026-03-30 21:48:55,894 - INFO - RMSD: Pearson=0.069, Spearman=0.416, Kendall=0.338 (n=13)
2026-03-30 21:48:55,896 - INFO - TM-score: Pearson=-0.223, Spearman=0.452, Kendall=0.301 (n=13)
2026-03-30 21:48:55,897 - INFO - lDDT: Pearson=0.975, Spearman=-0.208, Kendall=-0.170 (n=13)
2026-03-30 21:48:55,899 - INFO - Saved correlation results to d:\Studia\Projekty\gsp-lab\results\correlations\PZ2_gGSP_correlations.csv
2026-03-30 21:48:55,899 - INFO - Processing target: PZ20
2026-03-30 21:48:55,990 - INFO - 
--- Detailed data for target: PZ20 ---
2026-03-30 21:48:55,998 - INFO - 
             Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
        bujnicki_1 94.504 0.697  4.908   5.680    0.864   0.960    0.600         0.844        20.96 0.000000e+00 15.42    0.4916
        bujnicki_2 65.728 0.714  6.513   7.734    0.842   0.960    0.548         0.818        31.89 0.000000e+00 17.93    0.4787
        bujnicki_3 55.253 0.681  6.197   7.527    0.823   0.959    0.775         0.767        26.92 0.000000e+00 16.55    0.4949
        bujnicki_4 99.899 0.686  4.705   5.695    0.826   0.898    0.577         0.810        35.55 0.000000e+00 17.88    0.5011
        bujnicki_5 97.252 0.671  4.962   6.221    0.798   0.902    0.000         0.800         0.46 0.000000e+00 17.30    0.5229
             das_1 47.476 0.622  6.990   9.231    0.757   0.917    0.316         0.745        15.50 0.000000e+00 18.35    0.4354
             das_2 60.669 0.643  6.085   8.170    0.745   0.876    0.405         0.745        15.50 0.000000e+00 17.79    0.5065
             das_3 29.427 0.607  7.350   9.871    0.745   0.960    0.224         0.685        10.03 0.000000e+00 14.31    0.4186
             das_4 28.288 0.571 10.526  14.183    0.742   0.938    0.365         0.694        18.23 4.270000e-13 20.75    0.3715
             das_5 19.901 0.550 17.200  23.258    0.740   0.917    0.447         0.681        28.25 2.860000e-04 16.74    0.2995
rnacomposerhuman_1 26.704 0.588 11.599  15.422    0.752   0.902    0.000         0.721         9.12 2.760000e-11 18.96    0.3592
rnacomposerhuman_2 17.705 0.524 15.202  19.823    0.767   0.960    0.316         0.706         9.12 2.630000e-06 17.69    0.2590
rnacomposerhuman_3 18.163 0.566 16.977  22.687    0.748   0.885    0.354         0.707        10.48 1.800000e-04 16.70    0.3263
rnacomposerhuman_4 26.538 0.615 13.979  18.917    0.739   0.885    0.354         0.693         7.29 8.290000e-08 18.99    0.4112
rnacomposerhuman_5 41.146 0.640  6.859   8.066    0.850   0.981    0.354         0.818         7.29 0.000000e+00 17.99    0.4463
     rnacomposer_1 17.948 0.555 16.570  20.744    0.799   1.000    0.577         0.719         7.29 7.390000e-05 18.66    0.2516
     rnacomposer_2 17.923 0.534 16.060  21.145    0.760   0.941   -1.000         0.709         5.47 2.270000e-05 17.80    0.2662
     rnacomposer_3 27.370 0.544 12.637  16.538    0.764   0.939    0.258         0.718        10.03 1.120000e-09 16.12    0.2759
     rnacomposer_4 33.962 0.570 10.995  14.013    0.785   0.920    0.447         0.742         5.93 2.750000e-12 18.71    0.3428
     rnacomposer_5 30.106 0.581 12.745  15.470    0.824   0.938    0.632         0.786         9.57 1.610000e-09 15.45    0.3348
            rw3d_1 17.481 0.501 19.167  27.120    0.707   0.907    0.000         0.645         6.84 9.350000e-03 17.82    0.2629
           rw3d_10 17.629 0.499 18.333  26.292    0.697   0.928    0.000         0.618         7.29 2.440000e-03 17.42    0.2879
            rw3d_2 17.104 0.493 18.941  26.982    0.702   0.928    0.000         0.625         3.19 6.620000e-03 15.90    0.2730
            rw3d_3 17.119 0.502 17.966  25.145    0.715   0.907    0.000         0.657         9.57 1.270000e-03 17.15    0.3145
            rw3d_4 17.140 0.484 18.365  26.996    0.680   0.907    0.000         0.604         3.65 2.580000e-03 17.67    0.2869
            rw3d_5 17.721 0.502 20.655  29.224    0.707   0.928    0.000         0.632         5.01 6.360000e-02 15.97    0.2479
            rw3d_6 17.979 0.498 20.565  28.587    0.719   0.945    0.000         0.645         6.38 5.760000e-02 17.91    0.2835
            rw3d_7 17.444 0.494 18.181  26.548    0.685   0.913    0.000         0.604         8.66 1.870000e-03 17.09    0.3195
            rw3d_8 17.202 0.487 17.722  24.971    0.710   0.907    0.000         0.650         6.38 8.050000e-04 17.15    0.2614
            rw3d_9 17.165 0.493 17.817  25.553    0.697   0.907    0.000         0.630         2.28 9.630000e-04 16.20    0.2691
          simrna_1  4.267 0.303 18.075  47.392    0.381   0.000    0.000         0.578       128.24 1.540000e-03 21.29    0.2940
          simrna_2  8.842 0.352 23.769  47.722    0.498   0.167    0.000         0.668       144.03 5.810000e-01 20.50    0.3215
          simrna_3  2.834 0.250 22.115  62.217    0.355   0.000    0.000         0.563        97.22 2.380000e-01 23.82    0.1959
          simrna_4  8.004 0.331 20.154  40.725    0.495   0.302   -1.000         0.608       100.18 3.560000e-02 20.36    0.2354
          simrna_5  8.707 0.353 20.411  40.775    0.501   0.200   -1.000         0.650        99.09 4.840000e-02 21.62    0.2858
           xiao2_1 11.129 0.448 25.726  40.981    0.628   0.520   -1.000         0.696         0.91 9.020000e-01 29.56    0.2792
           xiao2_2 13.809 0.374 20.447  39.290    0.520   0.291    0.000         0.645        13.68 5.040000e-02 36.87    0.2272
           xiao2_3 16.364 0.415 16.925  31.839    0.532   0.568    0.316         0.533         0.91 1.610000e-04 37.44    0.2292
           xiao2_4  7.998 0.360 19.385  40.177    0.482   0.404    0.000         0.542        23.78 1.290000e-02 35.19    0.2395
           xiao2_5 16.296 0.357 21.084  43.037    0.490   0.258    0.000         0.603        12.77 9.910000e-02 32.72    0.2550
           xiao3_1 18.175 0.460 18.749  28.253    0.664   0.780    0.289         0.638        25.57 4.880000e-03 36.44    0.2373
           xiao3_2 19.873 0.482 20.272  30.312    0.669   0.610    0.000         0.737        14.16 4.110000e-02 34.68    0.2503
           xiao3_3 21.528 0.501 19.590  29.667    0.660   0.666    0.000         0.691        38.87 1.710000e-02 29.08    0.2594
           xiao3_4 18.237 0.457 20.180  29.529    0.683   0.671    0.000         0.728        13.68 3.680000e-02 40.54    0.2447
           xiao3_5 25.187 0.492 12.857  17.868    0.720   0.760   -1.000         0.726         1.82 2.350000e-09 33.65    0.2935
            xiao_1 11.129 0.447 25.812  41.118    0.628   0.520   -1.000         0.696         0.91 9.100000e-01 29.38    0.2792
            xiao_2 13.809 0.374 20.363  39.129    0.520   0.291    0.000         0.645        13.69 4.580000e-02 36.76    0.2272
            xiao_3 16.364 0.416 16.753  31.517    0.532   0.568    0.316         0.533         0.46 1.110000e-04 37.44    0.2292
            xiao_4  7.998 0.360 19.485  40.385    0.482   0.404    0.000         0.542        23.35 1.480000e-02 35.19    0.2394
            xiao_5 16.296 0.357 20.919  42.701    0.490   0.258    0.000         0.603        12.78 8.410000e-02 32.72    0.2550
            chen_1 17.051 0.475 20.650  27.684    0.746   0.941   -1.000         0.681        90.04 6.330000e-02 22.01    0.2985
            chen_2 18.795 0.451 13.335  19.023    0.701   0.898    0.000         0.646        63.41 1.120000e-08 21.24    0.2455
            chen_3 17.801 0.479 15.971  22.503    0.710   0.898    0.000         0.662        72.24 1.840000e-05 18.73    0.3154
            chen_4 18.019 0.492 15.904  19.957    0.797   0.898    0.316         0.783        81.15 1.560000e-05 20.70    0.2687
            chen_5 12.980 0.405 16.182  29.826    0.543   0.367    0.000         0.667        76.19 3.030000e-05  9.97    0.3121
2026-03-30 21:48:55,998 - INFO - Total models with gGSP: 55
2026-03-30 21:48:55,999 - INFO - Metric lDDT: available for 55/55 models
2026-03-30 21:48:55,999 - INFO - Metric RMSD: available for 55/55 models
2026-03-30 21:48:55,999 - INFO - Metric DI_all: available for 55/55 models
2026-03-30 21:48:55,999 - INFO - Metric INF_all: available for 55/55 models
2026-03-30 21:48:55,999 - INFO - Metric INF_wc: available for 55/55 models
2026-03-30 21:48:55,999 - INFO - Metric INF_nwc: available for 55/55 models
2026-03-30 21:48:56,000 - INFO - Metric INF_stacking: available for 55/55 models
2026-03-30 21:48:56,000 - INFO - Metric Clash_Score: available for 55/55 models
2026-03-30 21:48:56,000 - INFO - Metric P-value: available for 55/55 models
2026-03-30 21:48:56,000 - INFO - Metric mcq: available for 55/55 models
2026-03-30 21:48:56,000 - INFO - Metric TM-score: available for 55/55 models
2026-03-30 21:48:56,003 - INFO - Clash_Score: Pearson=0.218, Spearman=0.101, Kendall=0.036 (n=55)
2026-03-30 21:48:56,006 - INFO - DI_all: Pearson=0.744, Spearman=0.907, Kendall=0.754 (n=55)
2026-03-30 21:48:56,008 - INFO - INF_all: Pearson=0.611, Spearman=0.849, Kendall=0.678 (n=55)
2026-03-30 21:48:56,011 - INFO - INF_nwc: Pearson=0.426, Spearman=0.639, Kendall=0.499 (n=55)
2026-03-30 21:48:56,012 - INFO - INF_stacking: Pearson=0.719, Spearman=0.787, Kendall=0.603 (n=55)
2026-03-30 21:48:56,014 - INFO - INF_wc: Pearson=0.445, Spearman=0.644, Kendall=0.460 (n=55)
2026-03-30 21:48:56,017 - INFO - mcq: Pearson=0.314, Spearman=0.398, Kendall=0.245 (n=55)
2026-03-30 21:48:56,018 - INFO - P-value: Pearson=0.217, Spearman=0.793, Kendall=0.613 (n=55)
2026-03-30 21:48:56,020 - INFO - RMSD: Pearson=0.832, Spearman=0.796, Kendall=0.625 (n=55)
2026-03-30 21:48:56,022 - INFO - TM-score: Pearson=0.865, Spearman=0.646, Kendall=0.478 (n=55)
2026-03-30 21:48:56,025 - INFO - lDDT: Pearson=0.789, Spearman=0.900, Kendall=0.742 (n=55)
2026-03-30 21:48:56,025 - INFO - Saved correlation results to d:\Studia\Projekty\gsp-lab\results\correlations\PZ20_gGSP_correlations.csv
2026-03-30 21:48:56,027 - INFO - Processing target: PZ21
2026-03-30 21:48:56,123 - INFO - 
--- Detailed data for target: PZ21 ---
2026-03-30 21:48:56,132 - INFO - 
        Model    gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
      3drna_1  10.494 0.342 12.094  32.453    0.373   0.577   0.0000         0.325        38.46 9.150000e-03 41.32     0.181
      3drna_2   9.537 0.343 12.385  30.843    0.402   0.577   0.0000         0.384        47.69 1.400000e-02 45.41     0.190
      3drna_3   9.145 0.337 12.053  22.975    0.525   0.603   0.0000         0.549         0.00 8.600000e-03 39.58     0.137
      3drna_4   6.187 0.323 17.847  31.805    0.561   0.639   0.0000         0.575         1.54 7.980000e-01 39.70     0.206
      3drna_5   7.429 0.338 17.384  29.689    0.586   0.639   0.0000         0.611         0.77 7.190000e-01 32.89     0.244
    adamiak_1  82.153 0.463  4.612   7.412    0.622   0.957   0.0000         0.522        11.54 3.590000e-11 27.55     0.218
    adamiak_2  81.985 0.464  4.616   7.654    0.603   0.917   0.4470         0.482        10.77 3.640000e-11 26.74     0.213
    adamiak_3  89.781 0.477  4.573   7.273    0.629   0.957   0.5000         0.494         8.46 3.110000e-11 29.63     0.278
    adamiak_4  85.595 0.482  4.506   7.358    0.612   0.957   0.4470         0.482        13.85 2.420000e-11 24.58     0.227
    adamiak_5  23.713 0.428  5.503   9.688    0.568   0.909  -1.0000         0.479        12.31 8.640000e-10 26.50     0.219
   bujnicki_1  16.167 0.485  6.763   9.489    0.713   0.913   0.0000         0.699         0.00 5.140000e-08 19.86     0.280
   bujnicki_2  13.427 0.455  8.671  11.676    0.743   0.909   0.0000         0.754        21.52 1.010000e-05 23.47     0.266
   bujnicki_3   7.959 0.362 11.939  27.134    0.440   0.403   0.0000         0.500         0.00 7.220000e-03 26.76     0.253
   bujnicki_4  12.109 0.474  6.392   9.002    0.710   0.917   0.0000         0.688         0.00 1.620000e-08 23.63     0.279
   bujnicki_5   3.330 0.279 21.570  51.179    0.421   0.000   0.0000         0.590         0.77 9.980000e-01 24.15     0.176
chenhighlig_1  99.598 0.537  3.974   5.122    0.776   0.957   0.0000         0.767       123.46 3.190000e-12 21.16     0.336
chenhighlig_2  99.516 0.564  3.715   5.130    0.724   0.957   0.0000         0.679        70.16 1.150000e-12 28.27     0.324
chenhighlig_3  57.931 0.522  4.949   7.289    0.679   0.957   0.0000         0.622       107.34 1.230000e-10 22.62     0.295
chenhighlig_4  90.081 0.514  4.592   6.818    0.674   0.913   0.0000         0.647       212.68 3.340000e-11 24.33     0.242
chenhighlig_5  21.697 0.485  6.960   9.873    0.705   0.913   0.0000         0.669       116.60 9.340000e-08 31.19     0.289
 chenlowlig_1  99.598 0.537  3.974   5.122    0.776   0.957   0.0000         0.767       122.69 3.190000e-12 21.16     0.336
 chenlowlig_2  99.516 0.564  3.715   5.130    0.724   0.957   0.0000         0.679        69.39 1.150000e-12 28.28     0.324
 chenlowlig_3  57.931 0.522  4.949   7.289    0.679   0.957   0.0000         0.622       109.65 1.230000e-10 22.63     0.295
 chenlowlig_4  90.081 0.514  4.592   6.818    0.674   0.913   0.0000         0.647       211.91 3.340000e-11 24.33     0.242
 chenlowlig_5  21.697 0.485  6.960   9.873    0.705   0.913   0.0000         0.669       118.92 9.340000e-08 31.19     0.289
   daslores_1  95.061 0.597  3.646   4.528    0.805   0.957   0.3160         0.806        10.00 8.730000e-13 21.34     0.304
   daslores_2 100.000 0.520  4.022   5.340    0.753   0.957   0.0000         0.734         6.15 3.830000e-12 18.73     0.309
   daslores_3   7.231 0.374 14.239  21.056    0.676   0.881   0.0000         0.657         6.15 1.210000e-01 25.61     0.210
   daslores_4  10.474 0.446  6.177   9.022    0.685   0.870   0.0000         0.691         3.85 8.170000e-09 18.68     0.222
   daslores_5   9.415 0.416  8.790  12.771    0.688   0.909   0.0000         0.683         5.38 1.360000e-05 22.38     0.213
        das_1  40.017 0.535  5.328   7.443    0.716   0.957   0.0000         0.719        16.15 4.710000e-10 18.81     0.301
        das_2  39.029 0.525  5.116   6.892    0.742   0.957   0.0000         0.770        20.00 2.240000e-10 20.59     0.287
        das_3  76.730 0.524  4.689   7.346    0.638   0.957   0.0000         0.603        14.62 4.780000e-11 25.61     0.335
        das_4  37.619 0.506  5.293   7.235    0.732   0.917   0.0000         0.754        10.77 4.170000e-10 18.33     0.255
        das_5  36.310 0.585  5.717   6.915    0.827   0.957   0.6710         0.800        12.31 1.790000e-09 19.13     0.312
rnacomposer_1  12.771 0.382 14.714  33.037    0.445   0.408   0.1826         0.487        14.62 1.830000e-01 30.19     0.205
rnacomposer_2   7.017 0.344 18.022  30.778    0.586   0.674   0.0000         0.599         9.23 8.250000e-01 21.40     0.172
rnacomposer_3   9.165 0.349 12.117  18.837    0.643   0.913   0.0000         0.577        18.46 9.460000e-03 33.12     0.188
rnacomposer_4   8.463 0.348 12.994  20.885    0.622   0.913   0.0000         0.549         9.23 3.140000e-02 31.77     0.183
rnacomposer_5   6.579 0.320 16.786  33.686    0.498   0.639   0.0000         0.484         6.15 5.980000e-01 21.56     0.182
      rw3d_10   6.446 0.364 15.992  26.612    0.601   0.583   0.0000         0.669        10.77 4.230000e-01 22.78     0.222
       rw3d_1   7.297 0.367 17.732  33.504    0.529   0.609   0.0000         0.550         9.23 7.800000e-01 25.08     0.212
       rw3d_2   7.933 0.367 15.984  28.443    0.562   0.609   0.0000         0.599         8.46 4.210000e-01 26.07     0.220
       rw3d_3   6.971 0.377 17.609  31.746    0.555   0.609   0.0000         0.599         7.69 7.590000e-01 23.02     0.209
       rw3d_4   7.363 0.374 18.021  30.323    0.594   0.609   0.0000         0.667         7.69 8.250000e-01 23.86     0.212
       rw3d_5   7.027 0.359 17.931  36.748    0.488   0.609   0.0000         0.498         6.15 8.110000e-01 25.88     0.218
       rw3d_6   6.390 0.357 16.772  27.888    0.601   0.609   0.0000         0.660         4.62 5.940000e-01 22.50     0.234
       rw3d_7   7.297 0.371 17.892  30.161    0.593   0.583   0.0000         0.647        11.54 8.050000e-01 24.02     0.218
       rw3d_8   7.266 0.374 17.469  31.086    0.562   0.609   0.0000         0.599         5.38 7.340000e-01 22.98     0.218
       rw3d_9   7.363 0.382 17.808  29.259    0.609   0.639   0.0000         0.656         3.08 7.920000e-01 24.22     0.212
sanbonmatsu_1   7.674 0.320 14.616  27.732    0.527   0.639   0.0000         0.522       105.55 1.690000e-01 34.46     0.156
sanbonmatsu_2   7.674 0.320 14.616  27.732    0.527   0.639   0.0000         0.522       104.78 1.690000e-01 34.45     0.156
sanbonmatsu_3   6.365 0.329 13.860  28.251    0.491   0.545   0.0000         0.519       120.37 8.390000e-02 31.93     0.149
sanbonmatsu_4   6.365 0.329 13.860  28.251    0.491   0.545   0.0000         0.519       120.37 8.390000e-02 31.93     0.149
     simrna_1   8.132 0.359 11.845  27.050    0.438   0.403   0.0000         0.500       101.46 6.240000e-03 21.93     0.235
     simrna_2  10.051 0.380 11.481  19.885    0.577   0.540  -1.0000         0.638       109.23 3.460000e-03 22.87     0.158
     simrna_3   8.646 0.357 13.107  24.868    0.527   0.418   0.0000         0.615       115.65 3.610000e-02 24.53     0.229
     simrna_4   8.412 0.376 10.566  19.423    0.544   0.463  -1.0000         0.623       118.19 6.670000e-04 21.62     0.181
     simrna_5   8.646 0.357 13.107  24.868    0.527   0.418   0.0000         0.615       115.65 3.610000e-02 24.53     0.229
2026-03-30 21:48:56,132 - INFO - Total models with gGSP: 59
2026-03-30 21:48:56,132 - INFO - Metric lDDT: available for 59/59 models
2026-03-30 21:48:56,132 - INFO - Metric RMSD: available for 59/59 models
2026-03-30 21:48:56,132 - INFO - Metric DI_all: available for 59/59 models
2026-03-30 21:48:56,132 - INFO - Metric INF_all: available for 59/59 models
2026-03-30 21:48:56,132 - INFO - Metric INF_wc: available for 59/59 models
2026-03-30 21:48:56,132 - INFO - Metric INF_nwc: available for 59/59 models
2026-03-30 21:48:56,132 - INFO - Metric INF_stacking: available for 59/59 models
2026-03-30 21:48:56,132 - INFO - Metric Clash_Score: available for 59/59 models
2026-03-30 21:48:56,134 - INFO - Metric P-value: available for 59/59 models
2026-03-30 21:48:56,134 - INFO - Metric mcq: available for 59/59 models
2026-03-30 21:48:56,134 - INFO - Metric TM-score: available for 59/59 models
2026-03-30 21:48:56,139 - INFO - Clash_Score: Pearson=-0.271, Spearman=-0.374, Kendall=-0.238 (n=59)
2026-03-30 21:48:56,141 - INFO - DI_all: Pearson=0.751, Spearman=0.880, Kendall=0.735 (n=59)
2026-03-30 21:48:56,143 - INFO - INF_all: Pearson=0.577, Spearman=0.677, Kendall=0.452 (n=59)
2026-03-30 21:48:56,147 - INFO - INF_nwc: Pearson=0.273, Spearman=0.250, Kendall=0.192 (n=59)
2026-03-30 21:48:56,148 - INFO - INF_stacking: Pearson=0.289, Spearman=0.359, Kendall=0.247 (n=59)
2026-03-30 21:48:56,151 - INFO - INF_wc: Pearson=0.649, Spearman=0.757, Kendall=0.569 (n=59)
2026-03-30 21:48:56,153 - INFO - mcq: Pearson=0.228, Spearman=0.203, Kendall=0.127 (n=59)
2026-03-30 21:48:56,156 - INFO - P-value: Pearson=0.447, Spearman=0.937, Kendall=0.795 (n=59)
2026-03-30 21:48:56,158 - INFO - RMSD: Pearson=0.787, Spearman=0.937, Kendall=0.795 (n=59)
2026-03-30 21:48:56,161 - INFO - TM-score: Pearson=0.666, Spearman=0.701, Kendall=0.521 (n=59)
2026-03-30 21:48:56,162 - INFO - lDDT: Pearson=0.808, Spearman=0.836, Kendall=0.633 (n=59)
2026-03-30 21:48:56,164 - INFO - Saved correlation results to d:\Studia\Projekty\gsp-lab\results\correlations\PZ21_gGSP_correlations.csv
2026-03-30 21:48:56,164 - INFO - Processing target: PZ22
2026-03-30 21:48:56,244 - INFO - 
--- Detailed data for target: PZ22 ---
2026-03-30 21:48:56,252 - INFO - 
        Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
    adamiak_1 11.253 0.438 28.834  43.906    0.657   0.731    0.000         0.666         8.08 9.370000e-01 24.21     0.198
    adamiak_2 12.266 0.462 19.653  30.530    0.644   0.694    0.267         0.663        10.01 1.760000e-04 22.23     0.224
    adamiak_3 11.001 0.450 27.938  45.765    0.610   0.549    0.204         0.674         6.54 8.480000e-01 22.25     0.220
    adamiak_4 12.720 0.473 18.394  28.261    0.651   0.770    0.000         0.642         9.62 9.670000e-06 22.25     0.221
    adamiak_5 12.638 0.474 15.558  22.883    0.680   0.847    0.154         0.652         5.39 2.490000e-09 20.85     0.270
   bujnicki_1 12.676 0.478 20.929  31.393    0.667   0.847    0.000         0.638        15.40 2.090000e-03 22.21     0.290
   bujnicki_2 12.768 0.472 17.959  26.402    0.680   0.847    0.000         0.667        33.50 3.180000e-06 25.61     0.245
   bujnicki_3 10.087 0.473 27.393  44.965    0.609   0.615    0.189         0.643        63.71 7.660000e-01 22.49     0.286
